category,name,description,price,badge
Espresso Drinks,Classic Espresso,"Single shot of rich bold espresso with a golden crema — our purest expression",3.50,House Favorite
Espresso Drinks,Doppio,"Double shot espresso, intensely concentrated and smooth with a lingering finish",4.00,
Espresso Drinks,Cappuccino,"Equal parts espresso, steamed milk, and silky microfoam in perfect harmony",5.50,Popular
Espresso Drinks,Caramel Latte,"Espresso and steamed whole milk finished with a ribbon of house-made caramel",5.75,Popular
Espresso Drinks,Caramel Macchiato,"Vanilla-infused milk layered with espresso shots and a hand-poured caramel drizzle",6.25,House Favorite
Espresso Drinks,Flat White,"Two ristretto shots pulled short with velvety microfoam — strong and silky smooth",5.50,
Espresso Drinks,Cortado,"Equal parts espresso and warm milk for a bold yet perfectly balanced sip",4.75,New
Cold Drinks,Cold Brew,"Slow-steeped for 18 hours over ice — exceptionally smooth with almost no acidity",5.50,Popular
Cold Drinks,Iced Caramel Latte,"Chilled double espresso over ice with caramel syrup and cold oat milk",6.00,
Cold Drinks,Matcha Oat Latte,"Ceremonial-grade matcha whisked smooth then poured over ice with steamed oat milk",6.25,New
Cold Drinks,Mango Passion Refresher,"Tropical fruit tea shaken with fresh mango puree, passion fruit, and a hint of mint",5.75,Seasonal
Cold Drinks,Chocolate Mudslide Shake,"Dark chocolate blended with cold brew espresso cream and finished with whipped cream",7.50,House Favorite
Pastries,Butter Croissant,"Flaky golden-layered croissant made with cultured European butter, baked fresh daily",4.00,Popular
Pastries,Chocolate Almond Croissant,"Twice-baked croissant filled with almond cream and studded with dark chocolate chips",5.50,House Favorite
Pastries,Blueberry Muffin,"Plump blueberries folded into a moist vanilla muffin with a crunchy raw sugar top",3.75,
Pastries,Cardamom Morning Bun,"Spiraled pastry dusted with cardamom sugar and bright orange zest — baked to order",4.50,Seasonal
Pastries,Cinnamon Roll,"Soft pillowy roll swirled with brown sugar cinnamon and finished with cream cheese frosting",5.00,Popular
Sandwiches,Smoked Turkey Avocado,"Smoked turkey breast with creamy avocado, peppery arugula, and sun-dried tomato on sourdough",11.50,Popular
Sandwiches,Caprese Baguette,"Fresh mozzarella, heirloom tomatoes, and basil pesto on a toasted baguette with flaky salt",10.00,
Sandwiches,Prosciutto Fig Panini,"Thinly sliced prosciutto with brie, house fig jam, and arugula pressed on golden ciabatta",12.50,House Favorite
